iter	Passed	Remaining
0	1563	31267989
1	2831	28310460
2	4362	29081124
3	5616	28077448
4	7537	30142580
5	8891	29628686
6	11035	31518953
7	12643	31596100
8	14200	31541549
9	15638	31262071
10	17133	31135445
11	19365	32255897
12	21132	32490491
13	22982	32809663
14	24150	32175853
15	26301	32851074
16	27756	32626688
17	29067	32267821
18	30992	32592174
19	32776	32743714
20	34426	32752947
21	36005	32696078
22	38008	33012487
23	40088	33367188
24	41344	33034187
25	43238	33217439
26	45220	33451738
27	47371	33789673
28	48904	33678446
29	50902	33884277
30	53010	34147047
31	55111	34389485
32	56892	34423408
33	58894	34585176
34	60516	34520419
35	62557	34691735
36	64122	34596780
37	66395	34878676
38	68238	34925695
39	69922	34891170
40	71838	34971125
41	73298	34830815
42	74972	34795919
43	76622	34751929
44	78063	34616824
45	80326	34844226
46	82177	34886806
47	83841	34850314
48	86007	35019020
49	88181	35184514
50	90360	35344987
51	91823	35224830
52	94079	35407439
53	95611	35316184
54	97163	35235074
55	99120	35301008
56	101142	35387609
57	103375	35543355
58	104808	35423588
59	107079	35586204
60	108943	35610152
61	110578	35559946
62	112160	35494274
63	113585	35381730
64	115675	35476669
65	117515	35493347
66	119532	35561869
67	120778	35402228
68	122632	35423083
69	125074	35610481
70	127447	35773354
71	129316	35791918
72	131306	35843142
73	132568	35696662
74	134335	35688524
75	136169	35697917
76	138445	35821485
77	139898	35731597
78	141690	35729316
79	143332	35689889
80	145500	35780546
81	146833	35666158
82	148343	35597154
83	150108	35589913
84	152081	35631902
85	154323	35734880
86	156311	35777375
87	158187	35793475
88	159675	35722392
89	161210	35663323
90	163084	35679701
91	165251	35758968
92	167456	35844648
93	168679	35720500
94	170388	35700857
95	171821	35624416
96	173328	35564495
97	175455	35631708
98	176876	35555800
99	178453	35512299
100	179684	35401468
101	180917	35293130
102	182362	35227892
103	183630	35130001
104	185145	35080625
105	186317	34967922
106	187594	34876851
107	189219	34851513
108	190500	34763711
109	191786	34678405
110	193980	34757474
111	195268	34674110
112	196554	34591926
113	197840	34510956
114	199181	34441014
115	200586	34383212
116	202464	34406895
117	203791	34337154
118	205477	34328516
119	207002	34293481
120	208505	34255211
121	210159	34242212
122	211855	34236219
123	213899	34285982
124	215479	34261175
125	216464	34143054
126	217728	34070176
127	218620	33940780
128	219865	33867881
129	221050	33786710
130	222902	33808035
131	224308	33761856
132	225829	33733548
133	227425	33716637
134	228661	33647117
135	229914	33581042
136	231315	33537359
137	232333	33439167
138	234271	33473805
139	236683	33575242
140	237604	33465224
141	238734	33385825
142	239926	33316167
143	241022	33234292
144	242282	33176052
145	243534	33117364
146	245055	33095784
147	246335	33042185
148	247560	32981990
149	248801	32924704
150	250214	32890824
151	251916	32895018
152	253328	32861473
153	254549	32803844
154	255942	32768845
155	257795	32792885
156	259656	32817624
157	261140	32794668
158	262341	32736562
159	264142	32753630
160	266555	32845942
